Title,Categories,Servings,Ingredients,Generated Recipe - Baseline 1,Generated Recipe - Baseline 2,Generated Recipe - Extended 1,Generated Recipe - Extended 2
basic oven meatballs,hamburger,72 servings,3    beaten eggs	3/4 c  milk	3 c  soft bread crumbs (about 4 1/2 slices)	1/2 c  finely chopped onion	2 ts salt	3 lb ground beef,"in a large skillet , heat oil in a large skillet over medium-high heat . add onion and saute until tender . add remaining ingredients and stir until","in a large skillet , heat the oil over medium-high heat . add the onion , celery , carrots , and cook until the onion is golden brown",combine all ingredients in a blender container cover and refrigerate for hours or until chicken is no longer pink <EOS>,in a large skillet over medium heat add the onion and garlic and cook for minutes add the onion and
basil-cumin-fennel potatoes,vegetables	august,1 servings,"x  potatoes, cooked peeled, and ut into 1/2 inch dice	x  a little garlic	x  equal amounts cumin seeds	and fennel seeds (these	should add the main	flavors)	x  lots of fresh chopped basil	(canned, dried would be	acceptable)	x  salt	x  black pepper	x  cayenne (optional)",combine all ingredients in a large bowl . mix well . pour into a greased 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9,"in a large skillet , heat the oil over medium-high heat . add the onion and garlic . cook over medium heat until the vegetables are tender . add the remaining ingredients . stir in the chopped parsley .  <EOS>",combine first ingredients in a large saucepan bring to a boil reduce heat and simmer for minutes or until tender drain and set aside heat oven to f in large saucepan combine remaining ingredients except cheese and cook until thickened and bubbly stirring,in a large skillet over medium heat add the onion and garlic and cook until the onion is tender add the onion and saute until the onion is tender add the garlic and cook for minutes add the tomatoes and cook for minutes
club burrito,sandwich	meats	low cal/fat,1 sandwich,1 sl deli-style turkey	1    soft flour tortilla	1 sl deli-style ham	shredded lettuce	1 sl swiss cheese	sprouts,"in a large skillet , heat oil in a large skillet over medium-high heat . add onion and saute until tender . add remaining ingredients and stir until smooth . add remaining ingredients and mix well . pour into greased 9 '' pie plate . bake at 350 degrees for 30 minutes .  <EOS>","in a large bowl , combine all ingredients except cheese and mix well . add remaining ingredients . cover and refrigerate at least 1 hour .  <EOS>",in a large saucepan bring to a boil reduce heat and simmer for minutes add the salt and pepper and cook for minutes add the garlic and cook for minutes add the salt and pepper and cook for minutes add the salt and pepper and cook for minutes add the tomatoes and cook stirring constantly until the mixture thickens and thickens add the tomatoes and cook,in a large skillet over medium heat add the onion and cook until the onion is tender add the onion and saute until the onion is tender add the garlic and cook for minutes add the tomatoes and cook for minutes add the rice and the sauce and cook for minutes add the rice and stir fry for minutes add the remaining ingredients and cook for
grannys tacos,main dish,2 dozen,"2 pk corn tortilla (12 ct)	-and mashed, or use leftover	1 lb hamburger	garlic salt	1 sm onion, chopped	black pepper, fresh ground	4 cl garlic, minced	oil for frying	1 md potato, peeled, boiled	chopped tomato	sliced olives	shredded lettuce (iceberg)	sour cream	grated cheddar	avacado or guacamole	chopped onion	salsa or taco sauce","in a large skillet , heat oil in a large skillet over medium-high heat . add onion and saute until tender . add remaining ingredients and stir until well blended . add remaining ingredients and mix well . pour into greased 9 '' pie plate . bake at 350 degrees for 30 minutes .  <EOS>","in a large skillet , heat the oil over medium-high heat . add the onion , celery , celery , green pepper , and garlic . cook over medium heat until the vegetables are tender . add the remaining ingredients . cook over medium heat until the vegetables are tender . add the remaining ingredients . cook over medium heat until the vegetables are tender . add the remaining ingredients . cook over low heat until the vegetables are tender . stir in the parsley and serve .  <EOS>",in a large saucepan bring to a boil reduce heat and simmer for minutes add the water and cook for minutes add the bread crumbs and the remaining ingredients except the bread crumbs and cook for minutes or until the onions are tender but firm about minutes add the bread crumbs and the remaining ingredients and toss well with the bread crumbs and the onions and the remaining ingredients except the bread crumbs and place on a plate and sprinkle with the bread crumbs and bake at f for minutes or until the onions are golden,in a large bowl combine the flour and salt and pepper in a large bowl add the eggs and stir until the mixture is smooth and creamy add the flour and salt and pepper to taste and taste and taste <EOS>
miniature pizza,main dish	cheese/eggs	appetizers	microwave,8 servings,"english muffins	dried oregano leaves	tomato sauce	grated romano or ozzarella cheese, diced                 parmesan cheese	anchovy fillets, pepperoni	mushroom slices	slices, sausage slices or nd toast english muffins conventionally.",TRIMMED DATA,TRIMMED DATA,in a large saucepan combine the water and the water bring to a boil and cook for minutes or until the mixture thickens and the mixture thickens add the milk and the salt and pepper and cook for minutes or until the mixture thickens and thickens stirring constantly remove from heat and add the remaining ingredients and cook for minutes or until the mixture thickens slightly thickened serve with the lemon juice and serve with a dollop of whipped cream <EOS>,in a large bowl combine the flour and salt and pepper in a large bowl add the eggs and stir well add the flour and salt and pepper to taste and mix well add the rest of the mixture and the mixture and the mixture and the mixture and the mixture and the mixture and the mixture and the mixture is smooth and elastic fold in the flour and salt and pepper to taste add the rest of the ingredients and the mixture and the mixture and the mixture and the mixture and the mixture and the mixture is smooth and elastic and the mixture is smooth and elastic to about minutes rrb add the rest of the ingredients and the mixture and the mixture and the mixture and the mixture and the mixture and the mixture is smooth and elastic and
chicken lin,poultry	tasteofhome,4 servings,"1    whole chicken, cut up	1 pt spaghetti sauce of your	1 cn ortega whole chiles	choice	1/2 c  parmesan cheese	1 ts lemon-pepper seasoning	1 md onion, sliced	1 ts dill	1    clove garlic, minced	salt and pepper as needed",combine all ingredients in a large bowl . mix well . pour into a greased 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 13 x 9 x 13 x 9 x 13 x 9 x 13 x 9 x 13 x 9 x,"in a large skillet , heat the oil over medium-high heat . add the onion and garlic and cook over medium heat until the meat is brown . add the onion , celery , celery , and cook , stirring frequently , until the meat is no longer pink , about 3 minutes . add the remaining ingredients . cook over medium heat until the meat is no longer pink . add the mushrooms and cook until the onion is tender . add the remaining ingredients . stir in the chopped green pepper and the onion .  <EOS>",in a large saucepan combine the water and salt bring to a boil reduce heat and simmer for minutes add the green onions green onions and green onions cook stirring occasionally until the meat is tender about minutes add the broth and cook for minutes or until the onions are tender drain the noodles with the mushrooms and the broth add the broth and cook for minutes or until the meat is tender serve with the green onions <EOS>,in a large skillet over medium heat add the onion and saute until the onion is tender add the onion and saute for minutes add the garlic and cook for minutes add the onion and cook until the onion is tender add the garlic and cook for minutes add the rice and stir fry for minutes add the remaining ingredients and stir until the mixture is smooth and the mixture is absorbed and the sauce is absorbed and the sauce is absorbed and the sauce is absorbed add the remaining ingredients and the sauce and cook for minutes
white bean sausage rigatoni,italian	main dish,4 servings,"8 oz rigatoni (5 cups)	.rinsed and drained	8 oz fully cooked turkey kielbasa	3 oz tomato paste	1/2 pk of a 10 oz pk frozen chopped	1/4 c  red wine or chicken broth	.spinach, thawed	1 1/2 ts italian seasonings	2 cn 14.5 oz ea stewed tomatoes	1/4 c  shredded parmesan cheese	1 cn 15 oz great northern beans,  saucepan, according to instructions, cook pasta. drain and the pan. bias-slice kielbasa. drain thawed spinach well. add","in a large skillet , heat oil in a large skillet over medium-high heat . add onion and cook until tender . add remaining ingredients and stir until well blended . add remaining ingredients and mix well . pour into greased 9 '' pie plate . bake at 350 degrees for 30 minutes .  <EOS>","in a large bowl , combine all ingredients . mix well . in a bowl , combine the milk , salt , and pepper . add the egg and mix well . add the egg and mix well . add the remaining ingredients . mix well . add the remaining ingredients . mix well .  <EOS>",preheat oven to f place the baking dish in a large bowl stir together the flour and salt pepper and the remaining ingredients except the cheese and toss with the sauce and the cheese and toss with the sauce and serve <EOS>,in a large bowl combine the flour and salt and pepper in a large bowl add the eggs and stir well add the rest of the mixture and the mixture and the mixture and the mixture and the mixture and the mixture and the mixture is smooth and elastic to form into a ball and place in a greased x x inch baking pan bake at degrees for minutes or until the meat is tender and the meat is tender <EOS>
tomato coulis,tomatoes,1 1/2 cups,"1 tb butter	1 1/2 lb plum tomatoes	1 tb olive oil	1/2 c  dry white wine	1 sm onion(s)	1 pn crushed red pepper	finely chopped	1 pn salt	1    garlic clove(s), minced",combine all ingredients in a large bowl . mix well . pour into a greased 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x,"in a large bowl , combine all ingredients . mix well . pour into a greased 10-inch pan . bake at 350 deg . for 20 minutes .  <EOS>",in a large saucepan bring water to a boil over high heat reduce heat and simmer for minutes add the water and cook stirring constantly until the rice is tender about minutes add the rice and cook for,in a large skillet over medium heat add the onion and saute for minutes add the onion and cook until the onion is tender add the garlic and cook for minutes add the tomatoes and cook until the
potato sausage leek gratin,main dish,4 servings,"4 c  diced red potatoes	1 c  finely chopped leeks*	1 x  salt & pepper	1/2 c  finely chopped green onions	2 tb flour, more if necessary	1/2 lb smoked sausage	1 x  milk	1/2 c  bread crumbs	1 x  chopped chives	1/4 c  butter; cut into sm. pieces",TRIMMED DATA,TRIMMED DATA,TRIMMED DATA,TRIMMED DATA
koulibiac,fish/seafoo,8 servings,"1/2 tb vegetable oil	3 tb fresh cream	500 g  puff pastry	1    egg	30 g  flour	3 tb lemon juice	1 pk spinach, thawed	salt, pepper	2 cn salmon	3    eggs, hard boiled	200 g  rice, cooked	grated nutmeg","in a large skillet , heat oil in a large skillet over medium-high heat . add onion and saute until tender . add remaining ingredients and stir until well blended . add remaining ingredients and mix well . pour into greased 9 '' pie plate . bake at 350 degrees for 30 minutes .  <EOS>","in a large skillet , heat oil over medium-high heat . add onion , garlic , and cook over medium heat until tender . add onion , garlic , and cook until tender . add tomatoes and cook until softened , about 5 minutes . stir in tomatoes , salt and pepper . cook over medium heat until hot . add tomatoes and cook over low heat until thickened . add tomatoes and cook until thickened . add tomatoes , salt and pepper . cook over medium heat until thickened . add tomatoes and cook until thickened . add tomatoes , tomato paste , salt and pepper . cook over low heat until thickened . stir in remaining ingredients . cover and refrigerate until ready to serve .  <EOS>",in a large saucepan bring the water to a boil over medium heat add the onion and cook until the onion is tender about minutes add the tomatoes and cook for minutes add the tomatoes and cook for minutes add the tomatoes and parsley and cook for minutes add the tomatoes and cook stirring until the onion is soft and the meat is cooked add the tomatoes and the salt and pepper and bring to a boil reduce the heat and simmer for minutes or until the mixture thickens and the mixture thickens and the mixture thickens and thickens add the tomatoes and the parsley and toss gently to,in a large skillet over medium heat add the onion and saute until the onion is tender add the onion and saute until the onion is tender add the garlic and cook for minutes add the tomatoes and cook for minutes add the tomatoes and cook until the mixture is absorbed add the rice and stir fry for minutes add the remaining ingredients and stir to cook for minutes add the rice and stir fry for minutes add the remaining ingredients and cook for minutes add the remaining ingredients and cook for minutes add the rice and stir fry for minutes add the remaining ingredients and cook for minutes
beef,crockpot	meats,9 servings,"1/2 c  flour	1 cn condensed beef broth**	1 ts salt	1 ts worcestershire sauce	1/8 ts pepper	2 ts tomato paste or ketchup	4 lb beef or sirloin tips	1/4 c  dry red wine or water	1/2 c  chopped green onions	3 tb flour	2 c  sliced mushrooms (4 oz) or	1 ea buttered noodles	1/2 lb mushrooms, sliced","in a large skillet , heat oil in a large skillet over medium-high heat . add onion and saute until tender . add remaining ingredients and stir until smooth . add remaining ingredients and mix well . pour into greased 9 '' pie plate . bake at 350 degrees for 30 minutes .  <EOS>","in a large skillet , heat oil over medium-high heat . add onion , garlic , and cook until softened , about 3 minutes . add tomatoes , tomato paste , and cook until softened . add tomatoes , tomato paste , and cook until heated through . add tomatoes , tomato paste , and cook until softened . add tomatoes , tomato paste , and salt . simmer , covered , until thickened and bubbly . stir in the parsley and garlic . add the garlic , parsley , and garlic . cook over low heat until the vegetables are tender-crisp . add the garlic , and cook until the onion is tender . add the garlic ,",heat oil in a large pot over medium heat add onion and garlic saute for minutes add tomatoes and parsley and cook stirring constantly until thickened add tomatoes and salt and pepper and bring to a boil reduce heat and simmer for minutes or until tender drain off fat stir in the tomatoes and salt and pepper and bring to a boil reduce heat and simmer for minutes or until the potatoes are tender but still firm about minutes add the tomatoes and cook for minutes or until the potatoes are tender and the mixture is cooked through a sieve and serve with,in a large skillet over medium heat add the onion and garlic and cook for minutes add the onion and cook until the onion is tender add the garlic and cook for minutes add the rice and stir fry for minutes add the remaining ingredients and cook for minutes add the rice and stir fry for minutes add the remaining ingredients and cook for minutes add the rice and the sauce and cook for minutes add the rice and stir fry for minutes add the remaining ingredients and cook for minutes add the rice and stir fry for minutes add the remaining ingredients
tortellini sage butter,pasta/rice,2 servings,9 oz fresh cheese	1/4 c  butter	or herb-cheese tortellini	salt and pepper	12    sage leaves	1/4 c  grated parmesan cheese,combine all ingredients in a large bowl . mix well . pour into a greased 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 13 x 9 x 13 x 9 x 13 x 9 x 13 x 9 x 13 x 9 x 13 x 9 x 13 x 9 x 13 x 9 x 13 x 9 x 13 x,"in a large bowl , combine the flour , salt , pepper , and pepper . mix well . add the flour and salt . mix well . add the flour and mix well . add the flour and mix well . add the egg and the flour . mix well . add the remaining ingredients . mix well .  <EOS>",in a large bowl combine the flour salt and pepper and whisk in the butter and add the salt pepper and the remaining ingredients except the butter and season with salt and pepper and season with salt and pepper and season with salt and pepper and taste <EOS>,in a large bowl combine the flour and salt and pepper in a large bowl add the eggs and stir until well blended add the eggs and stir well add the rest of the ingredients and the mixture and the mixture and the mixture and the mixture and the mixture and the mixture and the mixture and the mixture is smooth and elastic and the mixture is smooth and elastic to about minutes rrb add the rest of the ingredients and the mixture and the mixture and the mixture and the mixture and the mixture and the mixture and the mixture and the mixture and the mixture is smooth and elastic and the mixture is smooth and elastic and
orange herb rice,holiday	fruit	pasta/rice,4 servings,2 tb butter	1/2 ts salt	2 tb chopped onion	1/8 ts marjoram	2 c  water	1/8 ts thyme	1/2 ts grated orange rind	1 c  uncooked long grain rice	1/2 c  orange juice,combine all ingredients in a large bowl . mix well . pour into a greased 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 13 x 9 x 13 x 9 x 13 x 9 x 13 x 9 x 13 x 9 x 13 x 9 x 13 x 9 x,"in a large skillet , heat the oil in a skillet . add the garlic , onion , garlic , and garlic . cook over medium heat until the vegetables are tender . add the garlic , salt , pepper , and cook until the onion is tender . add the garlic , salt , pepper , and garlic . cook over low heat until the vegetables are tender . stir in the parsley and the remaining ingredients . cover and refrigerate for at least 1 hour .  <EOS>",in a large bowl combine the broccoli garlic parsley and salt and pepper flakes in a large bowl stir together the vinegar mustard salt pepper flakes and pepper flakes and the garlic and add to the dressing and toss well with the oil and whisk until the mixture is smooth and creamy add the broccoli and toss gently to coat with the dressing and toss with the dressing and serve <EOS>,in a large skillet over medium heat add the onion and saute for minutes add the onion and saute for minutes add the garlic and cook for minutes add the tomatoes and cook for minutes add the tomatoes and cook for minutes add the rice and stir fry for minutes add the remaining ingredients and cook for minutes add the remaining ingredients and stir fry for minutes add the remaining ingredients and stir fry for minutes add the remaining ingredients and cook for minutes add the rice and the sauce and cook for minutes add
peanut-butter-chocolate shortbread,cake/cookie	desserts,16 servings,"1 1/2 c  margarine or butter	1 c  unsalted peanuts, chopped	1 1/2 c  sifted powdered sugar	1 c  creamy peanut butter	1 1/2 ts vanilla	1 c  sifted powdered sugar	2 c  all-purpose flour	1/2 c  semisweet chocolate pieces	2/3 c  unsweetened cocoa powder	16    milk chocolate kisses	2 tb cornstarch	16    unsalted peanuts, whole	1/4 ts salt","in a large skillet , heat oil in a large skillet over medium-high heat . add onion and cook until tender . add remaining ingredients and stir until well blended . add remaining ingredients and mix well . pour into greased 9 '' pie plate . bake at 350 degrees for 30 minutes .  <EOS>","in a large skillet , heat the oil over medium-high heat . add the onion and garlic . cook over medium heat until the vegetables are tender . add the vegetables and cook until the vegetables are tender . add the remaining ingredients . stir in the chopped parsley .  <EOS>",in a large saucepan bring water to a boil over high heat add the onions and bay leaf cook for minutes add the water and cook for minutes add the water and cook for minutes add the water and cook for minutes add the water and cook for minutes add the water and cook for minutes add the water and cook for minutes add the water,in a large skillet over medium heat add the onion and cook until the onion is tender add the garlic and cook for minutes add the remaining ingredients and stir fry for minutes add the remaining ingredients and cook for minutes add the remaining ingredients and cook for minutes add the rice and stir fry for minutes add the remaining ingredients and cook for minutes add
shrimp baked feta ouzo cognac,greek	seafood	main dish,4,"28 oz canned tomatoes	6 tb olive oil	1 md onion; finely chopped	1    garlic clove; finely minced	1/4 ts sugar	salt & pepper to taste	2 tb butter	2 lb deveined shrimp	3 tb ouzo	3 tb metaxa 'cognac'	1/4 lb feta cheese	2 tb fresh, chopped parsley",combine all ingredients in a large bowl . mix well . pour into a greased 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x,"in a large skillet , heat the oil over medium-high heat . add the onion and garlic . cook over medium heat until the vegetables are tender . add the onion and cook until the onion is tender . add the onion and cook until the onion is tender . add the beans and cook until the vegetables are tender . add the beans and cook until",in a large saucepan bring to a boil over low heat add the onions and cook until the onions are soft about minutes add the tomatoes and cook for minutes add the water and cook for minutes add the tomatoes and cook for minutes or until the onions are tender drain the tomatoes and,in a large skillet over medium heat add the onion and cook until the onion is tender add the garlic and cook for minutes add the tomatoes and cook for minutes add the rice and the pan and cook over low heat for minutes add the remaining ingredients and stir until the mixture is
patates yiahni,greek	vegetables	side dish,5,5 md potatoes	4 tb olive or vegetable oil	1 md onion; chopped	2    garlic cloves; minced	1 1/2 c  italian plum tomatoes   drained	3 tb chopped fresh parsley	salt & freshly ground pepper,TRIMMED DATA,TRIMMED DATA,in a large saucepan bring the water to a boil over high heat add the stock and cook for minutes or until the meat is tender drain the rice and the liquid add the mushrooms and the broth to the pot add the stock and cook for minutes add the stock and cook for minutes add the stock and cook for minutes or until the onions are tender serve with the sauce <EOS>,in a large skillet over medium heat add the onion and saute until the onion is tender add the garlic and cook for minutes add the onion and cook until the onion is tender add the garlic and cook for minutes add the remaining ingredients and stir until the mixture is absorbed and the sauce is absorbed add the remaining ingredients and cook for minutes add the rice and stir fry for minutes add the remaining ingredients and stir until the mixture is absorbed and the sauce is absorbed and the sauce is absorbed and the sauce is absorbed and the sauce is absorbed and the sauce is absorbed and the sauce is absorbed and the sauce is absorbed add the remaining ingredients
veal scaloppine w/marsala cream sauce,meats	sauces,3 servings,2 tb unsalted butter or olive oil	1 lb thin veal scallops	1/2 c  all-purpose flour	1/2 c  dry marsala	1/3 c  whipping cream	salt & freshly ground pepper to taste,combine all ingredients in a large bowl . mix well . pour into a greased 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x,"in a large bowl , combine all ingredients . mix well . add remaining ingredients . cover and refrigerate at least 1 hour .  <EOS>",in a large saucepan bring the vinegar to a boil over high heat add the vinegar and salt and pepper to taste bring to a boil reduce heat and simmer for minutes or until the onions are tender drain the liquid and add the vinegar and salt and pepper to taste and cook for minutes or until the onions are tender add the vinegar and cook stirring constantly until the mixture thickens slightly,in a large skillet over medium heat add the onion and saute until golden add the onion and cook for minutes add the tomatoes and cook until the onion is tender add the garlic and cook for minutes add the tomatoes and cook until the mixture is absorbed add the remaining ingredients and stir well and serve <EOS>
vegetable pasta salad alla siciliana,salads	pasta,8 servings,"16 oz penne, ziti, or mostaccioli  uncooked	4 c  fresh broccoli florets	1/2 c  vegetable oil	1/4 c  white wine vinegar	2    garlic cloves; minced	1 ts dried oregano leaves	1/2 ts dried basil leaves	1/4 ts dried crushed red pepper  flakes	3 c  quartered cherry tomatoes	1/3 c  grated parmesan cheese	salt to taste","in a large skillet , heat oil in a large skillet over medium-high heat . add onion and saute until tender . add remaining ingredients and stir until well blended . add remaining ingredients and mix well . pour into greased 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9","mix all ingredients together . in a bowl , combine cream cheese , sugar , cinnamon , and vanilla . add lemon juice and vanilla . mix well . add lemon juice and vanilla . beat until stiff . pour into pie crust . bake at 350 degrees f. for 20 minutes .  <EOS>",combine the cream sugar and water in a large saucepan bring to a boil reduce heat and simmer for minutes or until the mixture thickens and thickens stirring constantly remove from heat and add the cream and continue to cook stirring constantly until the mixture thickens and thickens stirring constantly remove from heat and stir in the cream and stir until the mixture thickens and the,in a large bowl combine the flour baking powder and salt and pepper in a medium bowl combine the flour baking powder and salt and salt in a large bowl stir in the flour and salt and add to the mixture to the mixture and the mixture and the mixture and the mixture and the mixture is smooth and elastic fold in the flour mixture and
vegetarian stock,mcdougall	vegetarian	stock,8 servings,12 c  potato peels	12 c  water	14 cl garlic	2 md onions	1    celery stalk	3    parsley sprigs	1    bay leaf,combine all ingredients in a blender container . pour into a greased 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9,"in a large bowl , combine all ingredients . mix well . pour into a greased 9 '' pan . bake at 350 deg . for 25 minutes .  <EOS>",combine all ingredients in a blender container cover and refrigerate overnight <EOS>,in a large bowl combine the sugar and salt and taste in a saucepan bring to a boil and cook for minutes add the water and bring to a boil and cook for minutes add the water and bring to a boil and
venison hash,wild game,5 servings,"1 1/2 lb ground venison	3 lg onions, diced	1 lg green pepper, diced	1 cn 16 oz. tomatoes	2 ts salt	1/3 ts chili powder	1 sm red pepper, diced	1/2 c  chopped chiles (optional)","in a large skillet , heat oil in a large skillet over medium-high heat . add onion and cook until tender . add remaining ingredients and stir until well blended . add remaining ingredients and mix well . pour into greased 9 '' pie plate . bake at 350 degrees for 30 minutes .  <EOS>","in a large bowl , combine the sugar and the sugar . add the egg and mix well . add the egg and mix well . add the remaining ingredients . mix well .  <EOS>",combine all ingredients and mix well cover and refrigerate overnight <EOS>,combine all ingredients except the cream and the dry ingredients and mix well and pour into a greased x x inch baking pan bake at degrees for minutes or until golden brown cool on wire rack <EOS>
venison ragout onions,wildgame,1 servings,"2 lb deer neck and shank	24    pearl onions	1 1/2    onion, chopped	1 lb fresh mushrooms, chopped	1 tb tomato sauce	3 tb wine, sherry or port	2 c  beef stock	2 c  wine, dry red	3 tb flour	1/4 ts salt	2 tb butter",TRIMMED DATA,TRIMMED DATA,TRIMMED DATA,TRIMMED DATA
walla walla relish,preserves	relishes	pickles	vegetables,2 cups,"3 c  walla walla onions, sliced - into 1/4"" slices	cooking spray or olive oil	1 c  tomato, diced & seeded	2 tb basil, thinly sliced	1 1/2 tb jalapeno chiles, seeded & - chopped	2 ts olive oil	2 ts white wine vinegar	1/4 ts salt	1/8 ts pepper","in a large skillet , heat oil in a large skillet over medium-high heat . add onion and saute until tender . add remaining ingredients and stir until smooth . add remaining ingredients and mix well . pour into greased 9 '' pie plate .","in a large bowl , combine the flour , baking powder , salt , and cinnamon . mix well . add the flour and mix well . add the egg and mix well . add the flour and mix well . add the flour and",sift together flour baking powder and salt and set aside in a large mixing bowl beat together the egg and sugar until light and fluffy add the sifted flour and baking powder beat,in a large bowl combine the butter and sugar and salt and pepper in a medium bowl add the eggs and vanilla beat until stiff peaks form into a ball and place in
watermelon chiffon pie,pies	fruits,10 servings,"2 c  watermelon, pureed	1/2 c  powdered sugar	2 tb gelatin	1/4 c  ;water, cold	1/2 c  ;water, boiling	1 tb lemon juice	2    egg white; stiffly beaten	1 c  whipping cream; whipped	1    graham cracker crust (see recipe)	whipped cream to garnish	24    graham cracker squares	1/4 lb butter or margarine	1/4 c  sugar	1/4 ts cinnamon","in a large skillet , heat oil in a large skillet over medium-high heat . add onion and saute until tender . add remaining ingredients and stir until well blended . add remaining ingredients and mix well . pour into greased 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x","in a large skillet , heat the oil over medium heat . add the onion and garlic and cook over medium heat until the meat is brown . add the onion and garlic . cook over medium heat until the meat is melted . add the pork and cook over medium heat until the meat is melted , about 3 minutes . add the remaining ingredients . stir in the broth , and the seasoning . cook over medium heat until the meat is cooked . add the pork and stir until the meat is dissolved . add the pork and cook until the meat is melted . add the remaining ingredients . stir in the broth . cover and simmer",in a large saucepan bring to a boil reduce heat and simmer for minutes or until the meat is tender drain the fat from the heat and add the onion and cook until the meat is tender about minutes add the broth and cook for minutes add the salt and pepper and bring to a boil reduce heat to low and simmer for minutes or until the meat is cooked and cooked through serve immediately <EOS>,in a large skillet over medium heat add the onion and saute until golden add the onion and saute until the onion is tender add the garlic and cook for minutes add the tomatoes and cook for minutes add the tomatoes and the stock and bring to a boil and cook for minutes add the rice and stir fry for minutes add the cooked rice and the stock and bring to a boil and cook for minutes add the rice and stir fry for minutes add the rice and stir fry for minutes add the remaining ingredients
watermelon ice drink,beverages	low-cal	vegetarian,2 servings,2 1/2 c  watermelon	1/2 c  -crushed ice	rose geranium leaves; opt,"in a large skillet , heat oil in a large skillet over medium-high heat . add onion and saute until tender . add remaining ingredients and stir until well blended . add remaining ingredients and mix well . pour into greased 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x","in a large skillet , heat oil over medium heat . add onion , garlic , and cook over medium heat until onion is tender . add onion , garlic , and cook until onion is tender . stir in remaining ingredients . stir in the chopped parsley . serve with crackers .  <EOS>",in a large saucepan combine the milk and the milk bring to a boil reduce heat and simmer for minutes or until the cheese is melted and the mixture thickens add the milk and cook stirring until the cheese is melted add the milk and cook for minutes or until the cheese is melted serve with the parsley and parmesan cheese <EOS>,in a large bowl combine the flour and salt and pepper in a large bowl add the eggs and stir in the flour and salt add the flour and salt and pepper to taste and taste and taste <EOS>
